ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
30,10,OM931,4.8,2024-01-06,"客户ID: OM931
客户公司: 戴硕电子科技有限公司生物科技
客户所在地: 武汉市, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 4.8星
评价日期: 2024年01月06日
评价内容: ""我觉得，这款智能净水器超出我的预期。同时特别适合日常使用。没有达到我的期望。如果非要说缺点的话，配件可以再多一些。值得购买。""",167,智能净水器,亚马逊 智能净水器 Max,戴硕电子科技有限公司生物科技
4,9,YE681,2.0,2024-01-04,"客户ID: YE681
客户公司: 网新恒天网络有限公司虚拟现实
客户所在地: 峰县, 中国
产品信息: 西门子 智能电视 Advanced (类别: 智能电视)
生产商: 西门子智能家居
产品价格: 4143.11
评分: 2.0星
评价日期: 2024年01月04日
评价内容: ""对这款智能电视非常不满意，反应迟钝，浪费钱。""",124,智能电视,西门子 智能电视 Advanced,网新恒天网络有限公司虚拟现实
26,2,QI761,4.3,2023-12-12,"客户ID: QI761
客户公司: 同兴万点网络有限公司科技公司
客户所在地: 璐市, 中国
产品信息: 华为 智能摄像头 Plus (类别: 智能摄像头)
生产商: 华为智能生活
产品价格: 1964.26
评分: 4.3星
评价日期: 2023年12月12日
评价内容: ""智能摄像头的设计很人性化，性价比高，值得推荐。""",125,智能摄像头,华为 智能摄像头 Plus,同兴万点网络有限公司科技公司
8,6,QD492,4.0,2023-12-11,"客户ID: QD492
客户公司: 鑫博腾飞信息有限公司区块链技术
客户所在地: 健县, 中国
产品信息: LG 智能灯具 Pro (类别: 智能灯具)
生产商: LG智能家电
产品价格: 1027.82
评分: 4.0星
评价日期: 2023年12月11日
评价内容: ""作为第一次购买这类产品的新手，这款智能灯具性价比很高。让我惊喜的是在工作时时表现尤为出色。如果非要说缺点的话，价格稍微贵了一点。可以考虑其他品牌的同类产品。""",177,智能灯具,LG 智能灯具 Pro,鑫博腾飞信息有限公司区块链技术
19,10,MH412,3.0,2023-12-09,"客户ID: MH412
客户公司: 创联世纪传媒有限公司智能科技
客户所在地: 文市, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 3.0星
评价日期: 2023年12月09日
评价内容: ""智能净水器的质量还可以，反应灵敏，不过耗电量大。""",128,智能净水器,亚马逊 智能净水器 Max,创联世纪传媒有限公司智能科技
15,6,RW068,3.5,2023-12-02,"客户ID: RW068
客户公司: 维涛科技有限公司数字科技
客户所在地: 楠市, 中国
产品信息: LG 智能灯具 Pro (类别: 智能灯具)
生产商: LG智能家电
产品价格: 1027.82
评分: 3.5星
评价日期: 2023年12月02日
评价内容: ""不得不说，这款智能灯具优缺点都有。在看电影时时使用体验还不错。另外噪音控制有点问题。这个价位能买到这样的产品已经很不错了。""",157,智能灯具,LG 智能灯具 Pro,维涛科技有限公司数字科技
25,10,YE681,3.3,2023-10-17,"客户ID: YE681
客户公司: 网新恒天网络有限公司虚拟现实
客户所在地: 峰县, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 3.3星
评价日期: 2023年10月17日
评价内容: ""总体来说还行，音质出色，就是画质模糊。""",123,智能净水器,亚马逊 智能净水器 Max,网新恒天网络有限公司虚拟现实
1,7,YE681,4.8,2023-09-20,"客户ID: YE681
客户公司: 网新恒天网络有限公司虚拟现实
客户所在地: 峰县, 中国
产品信息: 格力 智能净水器 Lite (类别: 智能净水器)
生产商: 格力智能电器
产品价格: 9954.01
评分: 4.8星
评价日期: 2023年09月20日
评价内容: ""这是我用过的最好的智能净水器之一，操作简单，性价比很高。""",130,智能净水器,格力 智能净水器 Lite,网新恒天网络有限公司虚拟现实
28,3,TA647,2.9,2023-09-09,"客户ID: TA647
客户公司: 和泰网络有限公司区块链技术
客户所在地: 晨县, 中国
产品信息: 亚马逊 智能扫地机器人 Max (类别: 智能扫地机器人)
生产商: 亚马逊智能科技
产品价格: 4405.19
评分: 2.9星
评价日期: 2023年09月09日
评价内容: ""不推荐这款智能扫地机器人，售后服务差，很失望。""",130,智能扫地机器人,亚马逊 智能扫地机器人 Max,和泰网络有限公司区块链技术
14,8,TX859,3.5,2023-09-08,"客户ID: TX859
客户公司: 盟新科技有限公司人工智能
客户所在地: 雪梅县, 中国
产品信息: 海尔智慧家庭 智能插座 Ultra (类别: 智能插座)
生产商: 海尔智慧家庭
产品价格: 5770.67
评分: 3.5星
评价日期: 2023年09月08日
评价内容: ""在做饭时使用还不错，但在其他情况下表现一般。""",125,智能插座,海尔智慧家庭 智能插座 Ultra,盟新科技有限公司人工智能
22,9,JJ210,3.9,2023-08-24,"客户ID: JJ210
客户公司: 华成育卓传媒有限公司智能科技
客户所在地: 太原市, 中国
产品信息: 西门子 智能电视 Advanced (类别: 智能电视)
生产商: 西门子智能家居
产品价格: 4143.11
评分: 3.9星
评价日期: 2023年08月24日
评价内容: ""说实话，这款智能电视也没有特别失望。在早晨起床时使用体验还不错。更让我满意的是在家庭聚会场景下表现一般。值得购买。""",160,智能电视,西门子 智能电视 Advanced,华成育卓传媒有限公司智能科技
7,5,BV145,3.7,2023-08-13,"客户ID: BV145
客户公司: 凌颖信息传媒有限公司虚拟现实
客户所在地: 畅市, 中国
产品信息: 索尼 智能体重秤 Basic (类别: 智能体重秤)
生产商: 索尼智能科技
产品价格: 2042.82
评分: 3.7星
评价日期: 2023年08月13日
评价内容: ""我觉得，这款索尼 智能体重秤 Basic一般般。在做饭时时使用体验还不错。但是使用久了会发现一些小问题。性价比很高。""",154,智能体重秤,索尼 智能体重秤 Basic,凌颖信息传媒有限公司虚拟现实
27,8,TA647,2.5,2023-07-09,"客户ID: TA647
客户公司: 和泰网络有限公司区块链技术
客户所在地: 晨县, 中国
产品信息: 海尔智慧家庭 智能插座 Ultra (类别: 智能插座)
生产商: 海尔智慧家庭
产品价格: 5770.67
评分: 2.5星
评价日期: 2023年07月09日
评价内容: ""不得不说，这款海尔智慧家庭 智能插座 Ultra性价比极低。在看电影时时完全不能正常工作。唯一值得称赞的可能就是售后服务态度好。希望厂家能重视这些问题。""",173,智能插座,海尔智慧家庭 智能插座 Ultra,和泰网络有限公司区块链技术
2,10,OM931,4.9,2023-07-03,"客户ID: OM931
客户公司: 戴硕电子科技有限公司生物科技
客户所在地: 武汉市, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 4.9星
评价日期: 2023年07月03日
评价内容: ""这是我用过的最好的智能净水器之一，稳定性好，性价比很高。""",133,智能净水器,亚马逊 智能净水器 Max,戴硕电子科技有限公司生物科技
17,7,OL973,4.4,2023-06-26,"客户ID: OL973
客户公司: 维旺明传媒有限公司数字科技
客户所在地: 军县, 中国
产品信息: 格力 智能净水器 Lite (类别: 智能净水器)
生产商: 格力智能电器
产品价格: 9954.01
评分: 4.4星
评价日期: 2023年06月26日
评价内容: ""使用了一个月，质量很好，没有发现任何问题。""",122,智能净水器,格力 智能净水器 Lite,维旺明传媒有限公司数字科技
9,10,YE681,1.5,2023-06-15,"客户ID: YE681
客户公司: 网新恒天网络有限公司虚拟现实
客户所在地: 峰县, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 1.5星
评价日期: 2023年06月15日
评价内容: ""不推荐这款智能净水器，做工一般，很失望。""",124,智能净水器,亚马逊 智能净水器 Max,网新恒天网络有限公司虚拟现实
24,10,OM931,1.3,2023-06-01,"客户ID: OM931
客户公司: 戴硕电子科技有限公司生物科技
客户所在地: 武汉市, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 1.3星
评价日期: 2023年06月01日
评价内容: ""这款产品有严重问题，智能化程度低，已经申请退款。""",129,智能净水器,亚马逊 智能净水器 Max,戴硕电子科技有限公司生物科技
12,10,OL973,4.4,2023-03-26,"客户ID: OL973
客户公司: 维旺明传媒有限公司数字科技
客户所在地: 军县, 中国
产品信息: 亚马逊 智能净水器 Max (类别: 智能净水器)
生产商: 亚马逊智能科技
产品价格: 1954.93
评分: 4.4星
评价日期: 2023年03月26日
评价内容: ""从我的使用体验来看，这款亚马逊 智能净水器 Max品质很好。特别是高清画质设计很贴心。和广告宣传的一样好。如果非要说缺点的话，配件可以再多一些。有点贵了，但质量确实好。""",183,智能净水器,亚马逊 智能净水器 Max,维旺明传媒有限公司数字科技
